FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Talen Horton-Tucker,65,20.1,41.8,21.7,16.3,129,0.775,357,0.524,131,0.282,0.497,0.537,9,2.6,7.3,2.8,20.8,0.97,0.32,1.63,8,102.6,99.7
Taurean Prince,29,23.7,49.4,19.7,11.6,49,0.837,135,0.385,118,0.415,0.496,0.532,10.1,3.7,8.8,2.4,15.4,0.69,0.52,1.24,7.6,105.6,109.7
Terance Mann,67,18.9,39.3,15.1,9.3,94,0.83,259,0.541,91,0.418,0.563,0.603,7,3.6,10.8,1.6,11.3,0.45,0.19,0.6,7.3,124.6,103.8
Terence Davis,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.5,0.5,0.21,0.85,6.7,100.6,107.2
Terrence Ross,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.4,1.02,0.46,1.59,6.9,103,111
Terry Rozier,69,34.5,72,24.4,9.5,202,0.817,562,0.512,571,0.389,0.548,0.576,20.4,4.4,6.9,4.2,20,1.25,0.38,1.87,8.4,113.3,111.8
Thaddeus Young,68,24.3,50.6,22.3,16,113,0.628,618,0.579,45,0.267,0.567,0.577,12.1,6.2,14.1,4.3,27.1,1.09,0.59,2,11.3,115.3,104.5
Thanasis Antetokounmpo,57,9.7,20.1,15.3,21.3,49,0.51,108,0.556,29,0.241,0.515,0.523,2.9,2.2,11.8,0.8,10.3,0.39,0.18,0.75,7.1,103.3,100.5
Theo Maledon,65,27.3,57,19.4,17.3,135,0.748,301,0.402,313,0.335,0.454,0.489,10.1,3.2,6.2,3.5,18.8,0.85,0.17,2.17,7.1,94,110.7
Thomas Bryant,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,1.1,7.5,131.1,104.9
Tim Hardaway Jr.,70,28.4,59.1,23.4,6.1,174,0.816,382,0.524,529,0.391,0.56,0.589,16.6,3.3,6.4,1.8,9.8,0.44,0.16,0.91,6.5,116,112.4
Timothe Luwawu-Cabarrot,58,18.1,37.7,17.4,10.3,43,0.814,117,0.47,239,0.314,0.471,0.493,6.4,2.2,6.8,1.2,8.5,0.57,0.1,0.74,5.7,99.7,108
Tobias Harris,62,32.5,67.7,23.9,9.5,204,0.892,716,0.546,208,0.394,0.556,0.597,19.5,6.8,11.4,3.5,17.6,0.89,0.82,1.73,9.5,118,104.9
Tomas Satoransky,58,22.5,46.9,15.2,20.9,79,0.848,210,0.605,118,0.356,0.579,0.616,7.7,2.4,6,4.7,27.9,0.69,0.24,1.66,7.9,118.4,109.9
Tony Bradley,22,18,37.5,18,16,44,0.705,120,0.667,2,0,0.656,0.676,8.7,6.1,17.7,0.9,8.4,0.41,0.77,1.23,8.1,122.2,106.7
Tony Snell,47,21.1,44,8.6,10.7,11,1,62,0.419,109,0.569,0.696,0.708,5.3,2.4,6.2,1.3,7.9,0.28,0.23,0.45,4.8,134.7,110.2
Torrey Craig,32,18.8,39.2,15.5,9.5,20,0.8,97,0.619,84,0.369,0.588,0.603,7.2,4.8,14.5,1,7.4,0.59,0.59,0.63,6.9,121.2,102.9
Trae Young,63,33.7,70.3,33,16.2,546,0.886,715,0.491,397,0.343,0.499,0.589,25.3,3.9,6.3,9.4,45.5,0.84,0.17,4.14,11.6,116.9,111.9
Tre Jones,37,7.3,15.1,16.1,13.1,19,0.895,73,0.466,5,0.6,0.494,0.544,2.5,0.6,4.2,1.1,20,0.22,0,0.35,6.5,111.8,113.6
Tremont Waters,26,9.1,19,21.5,22.8,17,0.941,46,0.413,38,0.395,0.494,0.541,3.8,0.8,4.9,2.4,36.4,0.58,0.04,1.04,8.5,107.7,108.9
Trent Forrest,30,10.1,21,14.3,20.9,19,1,45,0.6,26,0.192,0.486,0.554,2.9,1.5,7.7,1.5,19.9,0.3,0.13,0.7,7.4,112.4,104.5
Trevor Ariza,30,28,58.4,15.1,7.5,44,0.773,98,0.5,143,0.35,0.515,0.542,9.4,4.8,9.8,1.8,9.4,1,0.6,0.7,6.2,111,107.1
Trey Burke,62,14.7,30.6,19.9,8,57,0.895,189,0.492,164,0.354,0.51,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,0.53,5.4,110,110.7
Trey Lyles,23,15.6,32.4,12.9,5.7,23,0.652,50,0.58,40,0.35,0.556,0.574,5,3.7,12.8,0.6,5.3,0.26,0.04,0.26,5.7,115.5,111.2
Tristan Thompson,54,23.8,49.6,14.8,14.1,120,0.592,323,0.523,3,0,0.518,0.54,7.6,8.1,19,1.2,7.2,0.44,0.61,1.15,7.1,114.5,105.4
Troy Brown Jr.,21,13.7,28.5,16.1,14.3,15,0.667,43,0.442,46,0.304,0.449,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,0.76,6.5,92.5,106.1
Troy Brown Jr.,13,18.2,37.9,11.5,8,6,0.833,31,0.677,24,0.333,0.6,0.616,5.5,3.4,10.3,0.8,5.6,0.54,0.15,0.38,5.4,122.1,106.6
Ty Jerome,33,23.9,49.7,18.8,13.5,34,0.765,119,0.479,168,0.423,0.57,0.585,10.7,2.8,6.1,3.6,23.7,0.61,0.18,1.42,8,113.2,110.4
Tyler Cook,28,15,31.3,14.2,15.4,35,0.486,98,0.684,2,0.5,0.685,0.667,5.5,3.4,12.4,0.5,5.6,0.29,0.07,0.75,5.6,117.2,107.8
Tyler Herro,54,30.3,63.1,23.5,11.9,117,0.803,402,0.498,297,0.36,0.516,0.543,15.1,4.9,9.3,3.4,18,0.65,0.31,1.87,8.3,103.6,110.3
Tyler Johnson,39,17.5,36.5,13.4,8.1,21,0.857,51,0.471,132,0.364,0.525,0.546,5.4,2,6.2,1.2,8.7,0.36,0,0.44,5.4,110.6,111.9
Tyrese Haliburton,58,30.1,62.7,18.1,12.5,56,0.857,323,0.529,296,0.409,0.569,0.585,13,3,5.5,5.3,24.6,1.33,0.48,1.59,7.9,117.8,116.9
Tyrese Maxey,61,15.3,32,23,8.2,70,0.871,326,0.512,103,0.301,0.498,0.531,8,1.7,6.1,2,19.9,0.43,0.21,0.67,7.9,109.6,104.3
Tyus Jones,70,17.5,36.4,16.6,10,45,0.911,273,0.487,140,0.321,0.485,0.511,6.3,2,6.1,3.7,28.6,0.9,0.09,0.69,8.2,114.7,112.8
Victor Oladipo,20,33.5,69.7,29.8,10.9,83,0.783,228,0.465,153,0.32,0.471,0.508,21.2,4.8,7.6,5,25.3,1.2,0.5,2.55,9.5,100.3,111.6
Wayne Ellington,46,22,45.8,16.7,8.5,35,0.8,63,0.524,275,0.422,0.612,0.625,9.6,1.8,4.7,1.5,10.2,0.39,0.2,0.72,5.4,117.8,112.5
Wendell Carter Jr.,32,24.7,51.5,19.2,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.4,2.2,12.3,0.56,0.75,1.53,9.3,114.8,100.9
Wenyen Gabriel,21,11.5,23.9,14.4,18.2,17,0.647,28,0.393,32,0.406,0.508,0.533,3.4,2.6,12.2,0.5,5.9,0.43,0.38,0.71,5.7,102.6,101.9
Wes Iwundu,23,12.5,26.1,9.9,9.4,14,0.857,29,0.483,23,0.13,0.356,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.6,106.6
Wesley Matthews,58,19.5,40.6,11.4,8.8,41,0.854,55,0.418,197,0.335,0.484,0.517,4.8,1.6,4.7,0.9,6.3,0.64,0.28,0.45,3.9,105.9,104.7
Will Barton,56,31,64.6,19,12.7,121,0.785,351,0.459,257,0.381,0.507,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,1.71,7,106.8,111.4
Willie Cauley-Stein,53,17.1,35.6,12,11.8,78,0.628,171,0.667,11,0.091,0.635,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,0.55,6,128,99.5
Willy Hernangomez,47,18,37.5,17,9.9,93,0.667,258,0.581,10,0.1,0.565,0.591,7.8,7.1,21.4,1.1,8.4,0.47,0.49,0.72,8.7,123.4,105.6
Xavier Tillman,59,18.4,38.3,14.3,12.3,53,0.642,234,0.62,65,0.338,0.595,0.605,6.6,4.3,12.5,1.3,9.4,0.75,0.56,0.76,7.2,117.9,102.6
